"repo";"nb_user_repo";"nb_user_repo_with_social";"Rs"
"datamapper/do";1;1;1
"datamapper/dm-migrations";6;5;0.833333333333333
"benedikt/mongoid-tree";3;2;0.666666666666667
"neo4jrb/neo4j-core";1;1;1
"soveran/ohm";1;1;1
"cldwalker/debugger";11;3;0.272727272727273
"FooBarWidget/default_value_for";1;1;1
"datamapper/dm-validations";7;6;0.857142857142857
"clemens/delocalize";2;0;0
"bmabey/email-spec";1;1;1
"chanks/que";1;0;0
"Locale/localeapp";1;1;1
"scambra/devise_invitable";1;1;1
"masa16/narray";1;1;1
"yuki24/did_you_mean";1;1;1
"redis/hiredis-rb";6;2;0.333333333333333
"qoobaa/s3";1;0;0
"ddollar/foreman";6;1;0.166666666666667
"IIIF/osullivan";1;1;1
"projecthydra/rubydora";1;1;1
"FortAwesome/font-awesome-sass";4;0;0
"prawnpdf/prawn";7;5;0.714285714285714
"prawnpdf/prawn-table";1;0;0
"sferik/rails_admin";2;2;1
"RISCfuture/dropbox";1;0;0
"petebrowne/sprockets-sass";5;2;0.4
"kucaahbe/rspec-html-matchers";4;0;0
"ajb/erector-rails4";1;1;1
"toland/patron";5;4;0.8
"voloko/twitter-stream";2;1;0.5
"thuss/standalone-migrations";1;0;0
"brianmario/escape_utils";7;3;0.428571428571429
"elastic/elasticsearch-rails";2;0;0
"roidrage/lograge";1;1;1
"brigade/overcommit";1;0;0
"drbrain/net-http-persistent";11;3;0.272727272727273
"igrigorik/em-synchrony";6;1;0.166666666666667
"igrigorik/em-websocket";8;5;0.625
"emberjs/ember.js";3;3;1
"wycats/handlebars.js";4;4;1
"emberjs/ember-rails";1;1;1
"jruby/jruby";1;1;1
"engineyard/engineyard";1;0;0
"jbarnette/johnson";2;2;1
"forgecrafted/ruby-stylus";3;1;0.333333333333333
"sunspot/sunspot";1;0;0
"pdfkit/pdfkit";2;0;0
"stompgem/stomp";2;1;0.5
"ibc/EventMachine-LE";1;1;1
"simplabs/excellent";1;1;1
"stevenosloan/slack-notifier";3;0;0
"grosser/fast_gettext";1;1;1
"grosser/gettext_i18n_rails";1;0;0
"elabs/pundit";2;0;0
"rubyworks/facets";3;2;0.666666666666667
"eagletmt/faml";1;1;1
"k0kubun/hamlit";1;1;1
"judofyr/temple";4;3;0.75
"plataformatec/faraday-http-cache";3;1;0.333333333333333
"sdsykes/fastimage";2;0;0
"phusion/passenger";1;1;1
"peter-murach/github";4;2;0.5
"ffaker/ffaker";2;2;1
"chuckremes/ffi-rzmq";3;2;0.666666666666667
"chef/ffi-yajl";1;1;1
"neelance/ffi_gen";1;1;1
"netzpirat/guard-coffeescript";4;2;0.5
"seejohnrun/ice_cube";3;3;1
"tmm1/rbtrace";1;0;0
"sinatra/rack-protection";3;1;0.333333333333333
"fluent/fluentd";3;3;1
"aws/aws-sdk-ruby";2;2;1
"binarylogic/settingslogic";1;0;0
"svenfuchs/i18n-active_record";2;2;1
"nesquena/rabl";4;3;0.75
"activerecord-hackery/squeel";3;1;0.333333333333333
"jonleighton/focused_controller";1;0;0
"mdub/clamp";9;3;0.333333333333333
"asenchi/scrolls";1;1;1
"mitchellh/virtualbox";2;2;1
"matthuhiggins/foreigner";1;1;1
"jordansissel/fpm";3;3;1
"ttilley/fssm";1;0;0
"jwt/ruby-jwt";5;3;0.6
"savonrb/savon";4;2;0.5
"digitalplaywright/mongoid-slug";1;1;1
"libgit2/rugged";9;7;0.777777777777778
"axyjo/leaflet-rails";1;0;0
"geokit/geokit";2;2;1
"jch/html-pipeline";2;2;1
"supermarin/xcpretty";3;3;1
"xml4r/libxml-ruby";2;0;0
"ohler55/ox";3;2;0.666666666666667
"jsmestad/pivotal-tracker";4;1;0.25
"brigade/haml-lint";2;0;0
"metricfu/metric_fu";4;1;0.25
"arches/table_print";3;0;0
"github/linguist";1;1;1
"benbalter/licensee";1;1;1
"jekyll/jekyll-feed";1;1;1
"jekyll/jekyll-redirect-from";1;1;1
"jekyll/jekyll-sitemap";1;1;1
"wallyqs/org-ruby";1;0;0
"nricciar/wikicloth";2;1;0.5
"yamldb/yaml_db";1;0;0
"meh/ruby-thread";3;1;0.333333333333333
"globalize/globalize";1;0;0
"dilcom/gnuplotrb";1;1;1
"hamstergem/hamster";5;1;0.2
"gollum/gollum";1;1;1
"ccocchi/rabl-rails";1;1;1
"pivotal/LicenseFinder";1;0;0
"ruby-debug/ruby-debug-ide";1;0;0
"seattlerb/zentest";8;1;0.125
"google/signet";2;1;0.5
"savonrb/gyoku";2;0;0
"savonrb/wasabi";1;0;0
"ueno/ruby-gpgme";1;0;0
"rack/rack-contrib";2;2;1
"nixme/jazz_hands";1;1;1
"ruby-grape/grape-entity";3;1;0.333333333333333
"ruby-grape/grape-swagger";5;2;0.4
"cyu/rack-cors";3;1;0.333333333333333
"dam5s/happymapper";2;2;1
"ruby-gnome2/ruby-gnome2";2;2;1
"apotonick/roar";3;2;0.666666666666667
"grocer/grocer";1;1;1
"sosedoff/grooveshark";1;1;1
"topfunky/gruff";2;1;0.5
"guard/guard-livereload";2;0;0
"guard/guard-spork";3;1;0.333333333333333
"guard/guard-test";5;1;0.2
"netzpirat/haml_coffee_assets";1;1;1
"leshill/handlebars_assets";2;0;0
"zmoazeni/harvested";1;1;1
"remiprev/her";1;0;0
"infused/dbf";1;0;0
"weshatheleopard/rubyXL";1;0;0
"TomPoulton/hiera-eyaml";1;1;1
"tobmatth/rack-ssl-enforcer";3;0;0
"pelle/oauth-plugin";1;0;0
"Casecommons/pg_search";2;0;0
"spikex/strongbox";1;0;0
"rudionrails/yell";2;0;0
"joshbuddy/http_router";2;1;0.5
"fnando/i18n-js";1;0;0
"glebm/i18n-tasks";2;1;0.5
"icalendar/icalendar";1;0;0
"tmm1/stackprof";1;1;1
"toy/image_optim";2;2;1
"remvee/exifr";2;1;0.5
"itamae-kitchen/itamae";1;1;1
"plataformatec/has_scope";1;1;1
"methodmissing/rbczmq";2;0;0
"searls/jasmine-rails";2;0;0
"arton/rjb";1;1;1
"mkristian/jbundler";2;2;1
"arangamani/jenkins_api_client";2;1;0.5
"dorack/jiralicious";1;0;0
"rweng/jquery-datatables-rails";1;0;0
"malsup/form";1;0;0
"railsware/js-routes";1;0;0
"cinchrb/cinch";1;0;0
"RubyMoney/monetize";1;0;0
"activemerchant/offsite_payments";1;0;0
"chef/knife-windows";3;2;0.666666666666667
"rmoriz/knife-digital_ocean";1;1;1
"matschaffer/knife-solo";1;1;1
"higanworks/knife-zero";1;1;1
"chef/knife-ec2";1;1;1
"chef/knife-openstack";1;0;0
"WinRb/WinRM";1;1;1
"svenfuchs/routing-filter";1;0;0
"stripe/stripe-ruby";2;2;1
"rtomayko/rocco";3;2;0.666666666666667
"ioquatix/rubydns";2;2;1
"michelson/lazy_high_charts";1;0;0
"ryanb/letter_opener";3;1;0.333333333333333
